number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
1,1,Pi,1,144.11845,50.846982,57.858259,58.857084,64.329286,124.43525,142.07649,142.49979,141.896,141.87345,170.55966,228.3177,229.70489,125.10054,124.25148,123.64064,14.507271,3.832951,21.915504,41.384868,35.268173,32.372292,16.494646,15.884068,-2.7445189,-0.18692129,-1.1991673,-3.9169516,-3.5587938,2.9003385,-1.5826838,-1.5285052
2,1,Pi,2,100.34861,60.711909,83.645429,63.25382,63.516821,122.44392,141.86279,142.26966,141.69481,141.63731,178.9283,157.33318,151.67063,121.10236,122.93922,123.47781,11.401069,4.7480914,14.448961,35.627102,34.073533,29.810162,27.797073,29.939794,-2.3433238,-0.53787776,-1.4051077,-3.5456917,-3.3277646,2.7518819,-2.7645112,-2.9060004
3,1,Pi,3,118.4079,57.682131,67.11063,66.402902,71.564873,123.51863,141.68729,142.17399,141.4878,141.40783,159.51704,192.10741,195.39866,124.63499,123.09314,122.77947,12.541147,4.5482088,17.62911,33.610398,29.056328,33.672093,19.999259,18.957016,-2.5264657,-0.43653479,-1.1790613,-3.5364607,-3.210887,2.8583718,-1.9147284,-1.7980785
4,1,Pi,4,91.53816,46.73092,65.40805,49.513304,50.563095,123.50712,142.21519,142.61836,142.03767,142.03955,180.56174,157.22541,151.24243,122.16978,123.99757,124.56544,13.694295,5.5882033,19.225454,53.318038,49.626674,35.477177,35.901298,38.917221,-2.4465212,-0.81226593,-1.2182177,-4.1620394,-3.8226173,3.3441856,-3.6246856,-3.8127008
5,1,Pi,5,110.09972,49.515237,66.194926,54.076109,56.667165,125.15512,141.97184,142.41866,141.77478,141.77859,174.51888,172.03164,169.31231,124.69312,125.33729,125.46888,13.914999,5.4569487,18.773725,46.475762,41.472858,29.188435,26.144206,26.665321,-2.53976,-0.65036029,-1.2193178,-4.0016191,-3.62232,2.5498906,-2.634145,-2.6091093
6,1,Pi,6,105.76693,46.437427,59.436397,52.586977,56.495706,125.48817,142.03304,142.51089,141.82754,141.79936,161.75393,173.06957,174.31728,125.87595,125.34698,125.21417,13.501422,4.878696,20.141728,47.845762,41.475506,33.357212,26.619768,25.935685,-2.5015485,-0.52825945,-0.96554304,-4.006917,-3.6124287,2.9835306,-2.5935105,-2.5314576
7,1,Pi,7,101.27399,51.84722,69.975056,55.596747,59.855149,125.04868,142.33691,142.86326,142.2017,141.56169,172.11243,161.13052,157.96957,124.45231,125.34056,125.14905,11.979615,5.1768951,16.50402,43.706642,36.462993,30.248639,29.648184,30.310863,-2.2863528,-0.56727651,-1.1224638,-3.7702212,-3.1968092,2.8259426,-2.9271882,-2.955435
8,1,Pi,8,86.194312,54.137431,74.532904,55.513608,57.511621,121.39256,142.57818,143.06403,142.45851,141.82562,187.14201,145.77297,139.72249,119.51374,122.14629,122.51815,12.573564,5.1972933,17.560929,44.307011,39.093382,36.751466,40.385865,43.941742,-2.4110396,-0.85432835,-1.5655959,-3.8138735,-3.2991312,3.4272812,-4.0317835,-4.2355835
9,1,Pi,9,92.967023,52.812673,74.377101,54.284878,57.384444,123.14395,142.22134,142.63856,142.05477,141.93293,181.79547,154.85785,152.06753,121.28978,123.88258,124.27182,12.15456,5.033666,16.586174,45.248036,39.456184,34.26477,35.161916,36.495271,-2.348207,-0.7933273,-1.3997851,-3.8351001,-3.3511688,3.1752226,-3.525073,-3.5822985
10,1,Pi,10,101.6631,80.607542,109.12299,80.767517,78.25699,123.43722,141.48899,141.9587,141.32237,141.09493,172.08659,135.29794,122.52521,122.01607,123.95403,124.58698,7.8285007,4.5863629,10.163165,22.679727,22.442696,22.608245,27.421641,33.092421,-1.7553263,-0.28753927,-1.1941788,-2.6084427,-2.4411944,1.9784562,-2.46558,-2.8318104
11,1,Pi,11,94.022664,76.295742,104.62314,76.792862,74.578583,123.49561,141.54889,142.03519,141.37609,141.13554,164.15848,131.14549,119.76275,122.03928,124.01616,124.71592,8.0493965,4.7142189,10.481762,24.54516,24.283526,25.458494,30.163866,36.011985,-1.7856251,-0.43571575,-1.1682263,-2.7192904,-2.5311005,2.179567,-2.7548046,-3.1440491
12,1,Pi,12,94.296178,49.07273,66.764396,52.692128,55.615297,123.04612,142.12499,142.59142,141.94875,141.75318,190.47964,166.45146,168.25523,122.69477,123.08382,123.83301,13.013307,5.2450508,18.158415,48.095439,41.794076,34.09087,34.035734,33.779403,-2.332429,-1.028237,-1.083487,-3.9495461,-3.414569,3.2250984,-3.6191754,-3.5344689
13,1,Pi,13,101.03718,49.542744,67.751011,53.137983,55.314928,123.42975,141.69338,142.13268,141.47412,141.66417,188.49946,168.21247,166.71625,122.80667,123.57876,124.36013,13.023026,4.896774,18.10828,47.006345,42.522291,30.916126,30.172323,31.108351,-2.3614206,-0.85804783,-1.1217457,-3.9245509,-3.5321774,2.873256,-3.1848385,-3.2168236
14,1,Pi,14,91.110208,82.196556,114.66242,81.35466,77.5061,121.67877,141.10311,141.57425,140.88794,140.98699,168.21863,129.19484,119.64416,119.83481,122.29904,123.4043,7.593917,4.9585743,9.6734092,22.076108,22.752002,27.728448,31.40608,37.007041,-1.6447653,-0.40040629,-1.1068345,-2.4964686,-2.4288788,2.4127759,-2.8404272,-3.1912464
15,1,Pi,15,97.918638,48.767469,69.953289,50.100722,50.865826,119.70593,141.9527,142.34632,141.75089,141.95154,234.77442,178.61974,176.35911,117.43099,120.45434,121.888,14.473775,4.678194,19.941505,52.627067,49.444683,34.220692,35.184085,37.459692,-2.5099012,-0.91449021,-1.5422514,-4.1300753,-3.768237,3.5394646,-3.9241327,-4.0807615
16,1,Pi,16,94.823119,44.715332,61.621286,46.526535,47.579652,118.34609,142.50081,143.03303,142.22726,142.47664,241.45197,183.88921,180.5665,116.30074,118.98295,120.52965,16.732462,4.9338283,24.01249,60.973819,56.48107,39.493441,37.46937,40.525411,-2.7863668,-0.93361455,-1.711513,-4.5264748,-4.0677252,4.1895394,-4.2735122,-4.4991067
17,1,Pi,17,187.14726,127.66548,161.70298,127.86889,115.68651,127.59543,140.73232,141.47934,140.4103,140.41609,252.42716,199.96912,165.51892,127.33484,127.63569,128.11666,4.9950642,2.8358077,6.2918864,10.747111,11.675398,6.2818301,8.6444009,11.536521,-1.3812165,0.22345579,-1.1025587,-1.7875101,-1.7788135,0.67140594,-0.50559582,-0.76012381
