number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
1,1,Pi,1,-0.45256,-0.9469,-0.9415,-0.94745,-0.92497,0.035845,0.43673,0.44499,0.43444,0.42471,-0.5363,-0.21622,-0.51279,0.060776,0.035698,0.11547,-0.5945,-0.9601,-0.0136,-0.55382,-0.53029,-0.2802,-0.61467,-0.73392,-0.53812,-0.37099,-0.11802,-0.20093,-0.36172,0.31963,-0.063653,-0.16289
2,1,Pi,2,-0.65175,-0.92614,-0.88875,-0.93919,-0.92654,-0.016629,0.42906,0.43674,0.42722,0.41616,-0.50932,-0.4932,-0.69726,-0.042744,0.001258,0.11152,-0.6996,-0.94108,-0.39322,-0.62015,-0.54741,-0.34178,-0.30944,-0.45866,-0.40306,-0.46021,-0.19839,-0.11872,-0.31109,0.28196,-0.27742,-0.39836
3,1,Pi,3,-0.56956,-0.93252,-0.92257,-0.93328,-0.91096,0.011691,0.42276,0.43331,0.4198,0.40785,-0.5719,-0.35751,-0.59388,0.048722,0.0052975,0.094621,-0.66102,-0.94523,-0.23153,-0.64339,-0.61934,-0.24897,-0.52003,-0.67374,-0.46471,-0.43444,-0.11017,-0.11668,-0.28547,0.30898,-0.12371,-0.20897
4,1,Pi,4,-0.69184,-0.95556,-0.92605,-0.96499,-0.95161,0.011388,0.44171,0.44923,0.43952,0.43073,-0.50406,-0.49362,-0.69827,-0.015106,0.029034,0.13785,-0.62201,-0.92362,-0.15037,-0.41635,-0.32443,-0.20558,-0.090587,-0.28285,-0.4378,-0.52996,-0.12545,-0.25519,-0.41953,0.43224,-0.43301,-0.55336
5,1,Pi,5,-0.60737,-0.9497,-0.92444,-0.95642,-0.93979,0.054815,0.43298,0.44208,0.43009,0.42128,-0.52354,-0.43585,-0.65555,0.050227,0.064195,0.15972,-0.61454,-0.92634,-0.17334,-0.49517,-0.44133,-0.35672,-0.35408,-0.52278,-0.46919,-0.4888,-0.12588,-0.21967,-0.37564,0.23072,-0.25384,-0.34761
6,1,Pi,6,-0.62709,-0.95618,-0.93827,-0.95922,-0.94012,0.063591,0.43517,0.44538,0.43198,0.42203,-0.56469,-0.4318,-0.64372,0.080852,0.064449,0.15355,-0.62853,-0.93836,-0.10378,-0.47939,-0.4413,-0.25653,-0.34124,-0.53707,-0.45632,-0.45776,-0.026845,-0.22085,-0.37347,0.34073,-0.24649,-0.33434
7,1,Pi,7,-0.64754,-0.9448,-0.91671,-0.95357,-0.93362,0.05201,0.44608,0.45801,0.44541,0.41342,-0.5313,-0.47839,-0.68236,0.043992,0.064281,0.15198,-0.68002,-0.93216,-0.28873,-0.52707,-0.51316,-0.33124,-0.25945,-0.45139,-0.38388,-0.46768,-0.088084,-0.16844,-0.28239,0.30075,-0.30685,-0.40682
8,1,Pi,8,-0.71616,-0.93998,-0.90739,-0.95373,-0.93816,-0.044334,0.45474,0.4652,0.45462,0.42298,-0.48284,-0.53831,-0.7255,-0.083875,-0.019552,0.088295,-0.65993,-0.93174,-0.235,-0.52016,-0.47545,-0.17496,0.03052,-0.18445,-0.42585,-0.54065,-0.26102,-0.1781,-0.30481,0.45332,-0.50665,-0.62565
9,1,Pi,9,-0.68534,-0.94276,-0.90771,-0.95603,-0.93841,0.0018179,0.44193,0.44996,0.44014,0.42687,-0.50008,-0.50286,-0.69632,-0.037891,0.026016,0.13074,-0.6741,-0.93514,-0.28455,-0.50932,-0.47025,-0.23472,-0.11055,-0.33028,-0.4047,-0.52514,-0.19631,-0.1828,-0.31621,0.38937,-0.41499,-0.51398
10,1,Pi,10,-0.64577,-0.88427,-0.83663,-0.90632,-0.89801,0.009546,0.41565,0.4256,0.41387,0.39652,-0.53138,-0.57919,-0.76615,-0.019086,0.027892,0.13837,-0.82047,-0.94444,-0.61111,-0.76931,-0.71416,-0.51486,-0.31958,-0.39692,-0.2051,-0.39657,-0.11607,0.088809,-0.11679,0.085739,-0.22335,-0.38568
