number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
1,1,Pi,1,113.4330954,10.00234168,0.1810156696,1.078065717,0.2540829393,0.4203906253,595,0.07781819661,285,642.8436975,261,209,171,133,94,73,59,44,4990.639798,5709.218298,12043.61137,4618.575511,85758.34081,42622.24441,507.8786749,2445.047073,2488.64779
2,1,Pi,2,107.6461657,9.913298399,0.4116024545,0.981311518,0.4650362235,0.4250532517,562,0.08795694987,347,769.2633452,326,238,175,127,89,64,56,43,3553.366669,10146.62342,3735.245716,14585.76588,33647.11023,99926.26961,7.448613054,770.0838341,1909.271632
3,1,Pi,3,112.2453837,10.03551692,0.355859417,1.379122913,0.5019733276,0.4930921068,588,0.09085083008,344,759.4387755,315,235,174,131,97,68,52,43,603.6620797,2916.180743,5960.271457,12872.53766,16131.86968,25897.51101,3331.363527,549.545902,750.9845547
4,1,Pi,4,105.8650985,10.07727343,0.3316864123,1.133941177,0.4766911254,0.308588079,560.5,0.0688285319,294,603.5789474,279,203,142,111,75,59,42,36,1275.582032,4120.158944,5143.136367,17761.55778,18173.57286,145663.0994,195.3209439,638.0728028,6165.409602
5,1,Pi,5,118.5558811,10.05533707,0.4480261587,1.229899124,0.4721625768,0.4856006057,610,0.08595621745,287,692.6098361,270,212,154,116,94,67,46,37,8332.669475,14968.39146,11716.02278,41895.29501,76847.55567,102976.0878,658.2977706,3214.137341,4448.297554
6,1,Pi,6,114.8026176,10.08914473,0.2135666351,1.13381677,0.3998613894,0.4282855094,601,0.0821685791,283,672.0049917,258,207,158,110,92,69,52,39,1704.80354,9583.039689,8008.299671,44392.5277,81536.93016,85530.09715,1155.23919,647.9074067,2301.136176
7,1,Pi,7,105.2611269,10.10749008,0.1582166009,1.015793763,0.2374529976,0.3581839031,538.5,0.08452860514,310,771.5413185,286,217,159,114,81,68,47,37,2173.65939,9270.108857,13235.5185,40536.00271,44824.80538,169333.207,441.8444741,2998.359268,10607.53093
8,1,Pi,8,96.27587698,10.00860746,0.2569378172,1.203734902,0.470708177,0.5231860337,497,0.06639302572,363,656.6096579,332,236,158,118,76,57,45,41,4650.148808,2954.31115,5364.871181,3553.928097,39826.03349,44926.20882,367.4803773,2231.47924,6984.674528
9,1,Pi,9,98.02707193,10.00878658,0.2827686194,1.099922528,0.3951846977,0.4043709127,506.5,0.07543518066,356,732.041461,336,245,176,121,83,60,47,41,3571.063623,2851.309984,10288.01215,73839.63467,13210.46812,40288.29919,1776.095101,3249.219939,8843.121035
10,1,Pi,10,94.8925243,10.03063823,0.3643427777,1.090906732,0.5070316302,0.4658835661,476,0.1268802897,398,1310.172269,354,244,171,126,93,72,54,37,5655.601824,16448.85613,15202.11913,38296.82051,112221.1585,32676.20846,1531.743895,1455.546819,2450.238544
