number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
1,1,Pi,1,0.68766,-0.28128,-0.77451,-0.52631,-0.78342,-0.47283,0.22546,-0.79113,-0.96132,-0.97546,-0.9564,-0.85736,-0.67143,-0.36774,-0.25,-0.027778,0.09434,0.090909,-0.26015,-0.32149,-0.099923,-0.94302,-0.29553,-0.66759,-0.89202,-0.44712,-0.70374
2,1,Pi,2,0.53158,-0.5744,-0.28517,-0.81846,-0.34459,-0.45832,0.13793,-0.75707,-0.91691,-0.96407,-0.89737,-0.77117,-0.64286,-0.44516,-0.34615,-0.27778,-0.018868,0.045455,-0.47372,0.22452,-0.74517,-0.81961,-0.72535,-0.21026,-0.99893,-0.83519,-0.77613
3,1,Pi,3,0.65563,-0.17207,-0.40346,0.38274,-0.26775,-0.24653,0.2069,-0.74734,-0.91905,-0.96496,-0.90736,-0.78009,-0.65,-0.39355,-0.19231,-0.16667,-0.16981,0.045455,-0.91203,-0.66517,-0.57237,-0.84082,-0.86982,-0.80107,-0.28883,-0.88628,-0.92084
4,1,Pi,4,0.48354,-0.034606,-0.45476,-0.35759,-0.32035,-0.82084,0.13395,-0.82134,-0.95487,-0.979,-0.94005,-0.87519,-0.87857,-0.65161,-0.61538,-0.41667,-0.54717,-0.27273,-0.81219,-0.51702,-0.63583,-0.78029,-0.85298,0.15476,-0.95879,-0.86577,-0.24436
5,1,Pi,5,0.82584,-0.10682,-0.20787,-0.067846,-0.32977,-0.26985,0.26525,-0.76379,-0.95989,-0.97098,-0.94823,-0.84844,-0.79286,-0.5871,-0.25,-0.19444,-0.39623,-0.22727,0.23646,0.81783,-0.12536,-0.48148,-0.36903,-0.18592,-0.85988,-0.26894,-0.4589
6,1,Pi,6,0.7246,0.0044733,-0.70543,-0.35797,-0.48017,-0.44825,0.24138,-0.77651,-0.96275,-0.97283,-0.95913,-0.8633,-0.76429,-0.66452,-0.28846,-0.13889,-0.16981,-0.13636,-0.74841,0.15518,-0.41332,-0.45056,-0.33035,-0.32515,-0.75372,-0.86349,-0.72717
7,1,Pi,7,0.46725,0.064865,-0.8229,-0.71434,-0.81801,-0.66646,0.075597,-0.76859,-0.94341,-0.96387,-0.9337,-0.83358,-0.75714,-0.6129,-0.5,-0.16667,-0.35849,-0.22727,-0.67874,0.11667,-0.0073559,-0.49831,-0.63316,0.34366,-0.90613,-0.31893,0.31063
8,1,Pi,8,0.22489,-0.26065,-0.61339,-0.14685,-0.33279,-0.15285,-0.034483,-0.82952,-0.90544,-0.97422,-0.89192,-0.77712,-0.76429,-0.56129,-0.59615,-0.47222,-0.43396,-0.045455,-0.31074,-0.66047,-0.61861,-0.9562,-0.67439,-0.64921,-0.92201,-0.49661,-0.14201
9,1,Pi,9,0.27213,-0.26006,-0.55858,-0.46031,-0.4899,-0.52269,-0.0092838,-0.79914,-0.91046,-0.96743,-0.88828,-0.75037,-0.63571,-0.52258,-0.46154,-0.38889,-0.35849,-0.045455,-0.47109,-0.67315,-0.23627,-0.085956,-0.89392,-0.68622,-0.62109,-0.26081,0.090189
10,1,Pi,10,0.18758,-0.18813,-0.38546,-0.48754,-0.25723,-0.33122,-0.090186,-0.62628,-0.88037,-0.91536,-0.87193,-0.75334,-0.67143,-0.45806,-0.26923,-0.055556,-0.09434,-0.22727,-0.16134,1,0.14538,-0.52603,-0.077258,-0.74697,-0.67329,-0.67638,-0.70854
