number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
1;1;Pi;1;113.4330954;10.00234168;0.1810156696;1.078065717;0.2540829393;0.4203906253;595;0.07781819661;285;642.8436975;261;209;171;133;94;73;59;44;4990.639798;5709.218298;12043.61137;4618.575511;85758.34081;42622.24441;507.8786749;2445.047073;2488.64779;144.11845;50.846982;57.858259;58.857084;64.329286;124.43525;142.07649;142.49979;141.896;141.87345;170.55966;228.3177;229.70489;125.10054;124.25148;123.64064;14.507271;3.832951;21.915504;41.384868;35.268173;32.372292;16.494646;15.884068;-2.7445189;-0.18692129;-1.1991673;-3.9169516;-3.5587938;2.9003385;-1.5826838;-1.5285052
2;1;Pi;2;107.6461657;9.913298399;0.4116024545;0.981311518;0.4650362235;0.4250532517;562;0.08795694987;347;769.2633452;326;238;175;127;89;64;56;43;3553.366669;10146.62342;3735.245716;14585.76588;33647.11023;99926.26961;7.448613054;770.0838341;1909.271632;100.34861;60.711909;83.645429;63.25382;63.516821;122.44392;141.86279;142.26966;141.69481;141.63731;178.9283;157.33318;151.67063;121.10236;122.93922;123.47781;11.401069;4.7480914;14.448961;35.627102;34.073533;29.810162;27.797073;29.939794;-2.3433238;-0.53787776;-1.4051077;-3.5456917;-3.3277646;2.7518819;-2.7645112;-2.9060004
3;1;Pi;3;112.2453837;10.03551692;0.355859417;1.379122913;0.5019733276;0.4930921068;588;0.09085083008;344;759.4387755;315;235;174;131;97;68;52;43;603.6620797;2916.180743;5960.271457;12872.53766;16131.86968;25897.51101;3331.363527;549.545902;750.9845547;118.4079;57.682131;67.11063;66.402902;71.564873;123.51863;141.68729;142.17399;141.4878;141.40783;159.51704;192.10741;195.39866;124.63499;123.09314;122.77947;12.541147;4.5482088;17.62911;33.610398;29.056328;33.672093;19.999259;18.957016;-2.5264657;-0.43653479;-1.1790613;-3.5364607;-3.210887;2.8583718;-1.9147284;-1.7980785
4;1;Pi;4;105.8650985;10.07727343;0.3316864123;1.133941177;0.4766911254;0.308588079;560.5;0.0688285319;294;603.5789474;279;203;142;111;75;59;42;36;1275.582032;4120.158944;5143.136367;17761.55778;18173.57286;145663.0994;195.3209439;638.0728028;6165.409602;91.53816;46.73092;65.40805;49.513304;50.563095;123.50712;142.21519;142.61836;142.03767;142.03955;180.56174;157.22541;151.24243;122.16978;123.99757;124.56544;13.694295;5.5882033;19.225454;53.318038;49.626674;35.477177;35.901298;38.917221;-2.4465212;-0.81226593;-1.2182177;-4.1620394;-3.8226173;3.3441856;-3.6246856;-3.8127008
5;1;Pi;5;118.5558811;10.05533707;0.4480261587;1.229899124;0.4721625768;0.4856006057;610;0.08595621745;287;692.6098361;270;212;154;116;94;67;46;37;8332.669475;14968.39146;11716.02278;41895.29501;76847.55567;102976.0878;658.2977706;3214.137341;4448.297554;110.09972;49.515237;66.194926;54.076109;56.667165;125.15512;141.97184;142.41866;141.77478;141.77859;174.51888;172.03164;169.31231;124.69312;125.33729;125.46888;13.914999;5.4569487;18.773725;46.475762;41.472858;29.188435;26.144206;26.665321;-2.53976;-0.65036029;-1.2193178;-4.0016191;-3.62232;2.5498906;-2.634145;-2.6091093
6;1;Pi;6;114.8026176;10.08914473;0.2135666351;1.13381677;0.3998613894;0.4282855094;601;0.0821685791;283;672.0049917;258;207;158;110;92;69;52;39;1704.80354;9583.039689;8008.299671;44392.5277;81536.93016;85530.09715;1155.23919;647.9074067;2301.136176;105.76693;46.437427;59.436397;52.586977;56.495706;125.48817;142.03304;142.51089;141.82754;141.79936;161.75393;173.06957;174.31728;125.87595;125.34698;125.21417;13.501422;4.878696;20.141728;47.845762;41.475506;33.357212;26.619768;25.935685;-2.5015485;-0.52825945;-0.96554304;-4.006917;-3.6124287;2.9835306;-2.5935105;-2.5314576
7;1;Pi;7;105.2611269;10.10749008;0.1582166009;1.015793763;0.2374529976;0.3581839031;538.5;0.08452860514;310;771.5413185;286;217;159;114;81;68;47;37;2173.65939;9270.108857;13235.5185;40536.00271;44824.80538;169333.207;441.8444741;2998.359268;10607.53093;101.27399;51.84722;69.975056;55.596747;59.855149;125.04868;142.33691;142.86326;142.2017;141.56169;172.11243;161.13052;157.96957;124.45231;125.34056;125.14905;11.979615;5.1768951;16.50402;43.706642;36.462993;30.248639;29.648184;30.310863;-2.2863528;-0.56727651;-1.1224638;-3.7702212;-3.1968092;2.8259426;-2.9271882;-2.955435
8;1;Pi;8;96.27587698;10.00860746;0.2569378172;1.203734902;0.470708177;0.5231860337;497;0.06639302572;363;656.6096579;332;236;158;118;76;57;45;41;4650.148808;2954.31115;5364.871181;3553.928097;39826.03349;44926.20882;367.4803773;2231.47924;6984.674528;86.194312;54.137431;74.532904;55.513608;57.511621;121.39256;142.57818;143.06403;142.45851;141.82562;187.14201;145.77297;139.72249;119.51374;122.14629;122.51815;12.573564;5.1972933;17.560929;44.307011;39.093382;36.751466;40.385865;43.941742;-2.4110396;-0.85432835;-1.5655959;-3.8138735;-3.2991312;3.4272812;-4.0317835;-4.2355835
9;1;Pi;9;98.02707193;10.00878658;0.2827686194;1.099922528;0.3951846977;0.4043709127;506.5;0.07543518066;356;732.041461;336;245;176;121;83;60;47;41;3571.063623;2851.309984;10288.01215;73839.63467;13210.46812;40288.29919;1776.095101;3249.219939;8843.121035;92.967023;52.812673;74.377101;54.284878;57.384444;123.14395;142.22134;142.63856;142.05477;141.93293;181.79547;154.85785;152.06753;121.28978;123.88258;124.27182;12.15456;5.033666;16.586174;45.248036;39.456184;34.26477;35.161916;36.495271;-2.348207;-0.7933273;-1.3997851;-3.8351001;-3.3511688;3.1752226;-3.525073;-3.5822985
10;1;Pi;10;94.8925243;10.03063823;0.3643427777;1.090906732;0.5070316302;0.4658835661;476;0.1268802897;398;1310.172269;354;244;171;126;93;72;54;37;5655.601824;16448.85613;15202.11913;38296.82051;112221.1585;32676.20846;1531.743895;1455.546819;2450.238544;101.6631;80.607542;109.12299;80.767517;78.25699;123.43722;141.48899;141.9587;141.32237;141.09493;172.08659;135.29794;122.52521;122.01607;123.95403;124.58698;7.8285007;4.5863629;10.163165;22.679727;22.442696;22.608245;27.421641;33.092421;-1.7553263;-0.28753927;-1.1941788;-2.6084427;-2.4411944;1.9784562;-2.46558;-2.8318104
