number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
1;1;Pi;1;0.68766;-0.28128;-0.77451;-0.52631;-0.78342;-0.47283;0.22546;-0.79113;-0.96132;-0.97546;-0.9564;-0.85736;-0.67143;-0.36774;-0.25;-0.027778;0.09434;0.090909;-0.26015;-0.32149;-0.099923;-0.94302;-0.29553;-0.66759;-0.89202;-0.44712;-0.70374;-0.45256;-0.9469;-0.9415;-0.94745;-0.92497;0.035845;0.43673;0.44499;0.43444;0.42471;-0.5363;-0.21622;-0.51279;0.060776;0.035698;0.11547;-0.5945;-0.9601;-0.0136;-0.55382;-0.53029;-0.2802;-0.61467;-0.73392;-0.53812;-0.37099;-0.11802;-0.20093;-0.36172;0.31963;-0.063653;-0.16289
2;1;Pi;2;0.53158;-0.5744;-0.28517;-0.81846;-0.34459;-0.45832;0.13793;-0.75707;-0.91691;-0.96407;-0.89737;-0.77117;-0.64286;-0.44516;-0.34615;-0.27778;-0.018868;0.045455;-0.47372;0.22452;-0.74517;-0.81961;-0.72535;-0.21026;-0.99893;-0.83519;-0.77613;-0.65175;-0.92614;-0.88875;-0.93919;-0.92654;-0.016629;0.42906;0.43674;0.42722;0.41616;-0.50932;-0.4932;-0.69726;-0.042744;0.001258;0.11152;-0.6996;-0.94108;-0.39322;-0.62015;-0.54741;-0.34178;-0.30944;-0.45866;-0.40306;-0.46021;-0.19839;-0.11872;-0.31109;0.28196;-0.27742;-0.39836
3;1;Pi;3;0.65563;-0.17207;-0.40346;0.38274;-0.26775;-0.24653;0.2069;-0.74734;-0.91905;-0.96496;-0.90736;-0.78009;-0.65;-0.39355;-0.19231;-0.16667;-0.16981;0.045455;-0.91203;-0.66517;-0.57237;-0.84082;-0.86982;-0.80107;-0.28883;-0.88628;-0.92084;-0.56956;-0.93252;-0.92257;-0.93328;-0.91096;0.011691;0.42276;0.43331;0.4198;0.40785;-0.5719;-0.35751;-0.59388;0.048722;0.0052975;0.094621;-0.66102;-0.94523;-0.23153;-0.64339;-0.61934;-0.24897;-0.52003;-0.67374;-0.46471;-0.43444;-0.11017;-0.11668;-0.28547;0.30898;-0.12371;-0.20897
4;1;Pi;4;0.48354;-0.034606;-0.45476;-0.35759;-0.32035;-0.82084;0.13395;-0.82134;-0.95487;-0.979;-0.94005;-0.87519;-0.87857;-0.65161;-0.61538;-0.41667;-0.54717;-0.27273;-0.81219;-0.51702;-0.63583;-0.78029;-0.85298;0.15476;-0.95879;-0.86577;-0.24436;-0.69184;-0.95556;-0.92605;-0.96499;-0.95161;0.011388;0.44171;0.44923;0.43952;0.43073;-0.50406;-0.49362;-0.69827;-0.015106;0.029034;0.13785;-0.62201;-0.92362;-0.15037;-0.41635;-0.32443;-0.20558;-0.090587;-0.28285;-0.4378;-0.52996;-0.12545;-0.25519;-0.41953;0.43224;-0.43301;-0.55336
5;1;Pi;5;0.82584;-0.10682;-0.20787;-0.067846;-0.32977;-0.26985;0.26525;-0.76379;-0.95989;-0.97098;-0.94823;-0.84844;-0.79286;-0.5871;-0.25;-0.19444;-0.39623;-0.22727;0.23646;0.81783;-0.12536;-0.48148;-0.36903;-0.18592;-0.85988;-0.26894;-0.4589;-0.60737;-0.9497;-0.92444;-0.95642;-0.93979;0.054815;0.43298;0.44208;0.43009;0.42128;-0.52354;-0.43585;-0.65555;0.050227;0.064195;0.15972;-0.61454;-0.92634;-0.17334;-0.49517;-0.44133;-0.35672;-0.35408;-0.52278;-0.46919;-0.4888;-0.12588;-0.21967;-0.37564;0.23072;-0.25384;-0.34761
6;1;Pi;6;0.7246;0.0044733;-0.70543;-0.35797;-0.48017;-0.44825;0.24138;-0.77651;-0.96275;-0.97283;-0.95913;-0.8633;-0.76429;-0.66452;-0.28846;-0.13889;-0.16981;-0.13636;-0.74841;0.15518;-0.41332;-0.45056;-0.33035;-0.32515;-0.75372;-0.86349;-0.72717;-0.62709;-0.95618;-0.93827;-0.95922;-0.94012;0.063591;0.43517;0.44538;0.43198;0.42203;-0.56469;-0.4318;-0.64372;0.080852;0.064449;0.15355;-0.62853;-0.93836;-0.10378;-0.47939;-0.4413;-0.25653;-0.34124;-0.53707;-0.45632;-0.45776;-0.026845;-0.22085;-0.37347;0.34073;-0.24649;-0.33434
7;1;Pi;7;0.46725;0.064865;-0.8229;-0.71434;-0.81801;-0.66646;0.075597;-0.76859;-0.94341;-0.96387;-0.9337;-0.83358;-0.75714;-0.6129;-0.5;-0.16667;-0.35849;-0.22727;-0.67874;0.11667;-0.0073559;-0.49831;-0.63316;0.34366;-0.90613;-0.31893;0.31063;-0.64754;-0.9448;-0.91671;-0.95357;-0.93362;0.05201;0.44608;0.45801;0.44541;0.41342;-0.5313;-0.47839;-0.68236;0.043992;0.064281;0.15198;-0.68002;-0.93216;-0.28873;-0.52707;-0.51316;-0.33124;-0.25945;-0.45139;-0.38388;-0.46768;-0.088084;-0.16844;-0.28239;0.30075;-0.30685;-0.40682
8;1;Pi;8;0.22489;-0.26065;-0.61339;-0.14685;-0.33279;-0.15285;-0.034483;-0.82952;-0.90544;-0.97422;-0.89192;-0.77712;-0.76429;-0.56129;-0.59615;-0.47222;-0.43396;-0.045455;-0.31074;-0.66047;-0.61861;-0.9562;-0.67439;-0.64921;-0.92201;-0.49661;-0.14201;-0.71616;-0.93998;-0.90739;-0.95373;-0.93816;-0.044334;0.45474;0.4652;0.45462;0.42298;-0.48284;-0.53831;-0.7255;-0.083875;-0.019552;0.088295;-0.65993;-0.93174;-0.235;-0.52016;-0.47545;-0.17496;0.03052;-0.18445;-0.42585;-0.54065;-0.26102;-0.1781;-0.30481;0.45332;-0.50665;-0.62565
9;1;Pi;9;0.27213;-0.26006;-0.55858;-0.46031;-0.4899;-0.52269;-0.0092838;-0.79914;-0.91046;-0.96743;-0.88828;-0.75037;-0.63571;-0.52258;-0.46154;-0.38889;-0.35849;-0.045455;-0.47109;-0.67315;-0.23627;-0.085956;-0.89392;-0.68622;-0.62109;-0.26081;0.090189;-0.68534;-0.94276;-0.90771;-0.95603;-0.93841;0.0018179;0.44193;0.44996;0.44014;0.42687;-0.50008;-0.50286;-0.69632;-0.037891;0.026016;0.13074;-0.6741;-0.93514;-0.28455;-0.50932;-0.47025;-0.23472;-0.11055;-0.33028;-0.4047;-0.52514;-0.19631;-0.1828;-0.31621;0.38937;-0.41499;-0.51398
10;1;Pi;10;0.18758;-0.18813;-0.38546;-0.48754;-0.25723;-0.33122;-0.090186;-0.62628;-0.88037;-0.91536;-0.87193;-0.75334;-0.67143;-0.45806;-0.26923;-0.055556;-0.09434;-0.22727;-0.16134;1;0.14538;-0.52603;-0.077258;-0.74697;-0.67329;-0.67638;-0.70854;-0.64577;-0.88427;-0.83663;-0.90632;-0.89801;0.009546;0.41565;0.4256;0.41387;0.39652;-0.53138;-0.57919;-0.76615;-0.019086;0.027892;0.13837;-0.82047;-0.94444;-0.61111;-0.76931;-0.71416;-0.51486;-0.31958;-0.39692;-0.2051;-0.39657;-0.11607;0.088809;-0.11679;0.085739;-0.22335;-0.38568
