number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,607.5837524,1103.898747,5822.143533,4244.773233,7543.422444,2322.908062,6737.048872,12424.63192,7917.131885,7989.402576,6960.562238,6190.431935,22633.28367,27370.58268,21961.46152,14736.8006,20009.79341,28785.45104,23380.14639,24948.54784,607.5837524,635.5038871,2080.974866,2042.415234,83802.17158,86937.48625,9197.367509,92432.73272,35030.03466,79743.90267,196118.7135,152269.9701,161521.1535,149213.7601,134417.2205,132223.6126,216991.8047,162199.4751,412903.5315,138127.3712,4.059858465,495.7001119,273.3904139,9378.551012,1383.271039,95.33314798,4520.456302,2847.453517,4572.050691,3786.662991,9374.528173,3059.657235,4848.054178,8582.459489,6535.159482,5918.504949,6698.574716,6802.509869,11532.6954,7055.439498
2,1,Pi,2,1402.996835,10268.42339,7564.439064,9146.318404,6816.927443,9397.114859,10402.35608,5354.284291,2244.699746,13007.60503,10519.26612,7237.076584,8992.080311,13134.54895,5369.88305,12775.49704,8979.932509,7051.776511,9869.311171,9464.408152,1402.996835,1465.042276,17833.46795,17863.6113,27100.32261,73448.84655,40966.51217,89497.16139,117120.4406,64049.58668,111436.3358,71339.11511,138021.2028,90651.36036,18634.16759,141813.9698,114738.4085,119505.5022,40220.84259,84199.3651,1251.279066,4453.242905,206.7208257,2427.060993,3740.79538,3396.237136,3997.771993,11147.02519,1403.07274,4372.327341,2883.914643,9520.456697,4367.201481,10165.07967,10785.50552,5029.44029,11332.63404,10520.27732,11288.74381,12905.9669
3,1,Pi,3,268.0964558,1543.994222,2662.538145,5026.738678,6975.65077,8324.134197,4517.843525,6848.3859,12468.35247,1950.75928,8343.823656,10293.00701,5730.287112,15574.4202,6401.735102,10147.29431,6096.481353,13358.13362,9250.530883,10736.61208,268.0964558,9805.383876,14635.40797,25261.13855,13728.29572,50289.83917,13483.7965,24926.20779,26074.05931,44407.67007,53615.7896,251062.142,148642.1443,132452.9513,318040.667,88023.64515,78136.08622,165467.6354,257332.9617,230963.4958,8.311605355,663.8351732,745.1929284,751.1400141,3920.873618,906.5268387,5205.412054,977.7180476,2433.562157,3665.906087,1673.72395,3231.492935,6216.445805,11751.0527,5028.729922,12950.16953,8868.784792,6053.744696,13615.7879,7974.951227
4,1,Pi,4,2362.429002,4758.187688,6815.032033,6894.862298,5269.505411,5692.529918,5400.625509,3661.859473,5618.036851,6754.383805,3586.770107,9543.078882,18163.81998,6050.562637,7939.923214,10707.14243,11819.15655,12364.77788,17525.56863,16350.0892,2362.429002,11871.33236,23182.46437,123285.358,138378.5359,146381.5685,110390.5397,149528.7108,182248.892,100275.6381,186441.8965,150411.571,104684.6244,99654.58799,189798.7651,105007.1289,194088.7896,222803.5459,227628.7607,101833.9717,257.9807664,584.9535685,165.4698159,249.3297037,1259.477985,11538.3553,1537.90249,4291.06762,2268.146402,23740.78065,2938.917327,9260.856134,4558.210061,2116.047369,9892.645127,12861.25285,9316.012651,12361.94972,6387.543743,2892.552694
5,1,Pi,5,689.066336,980.1492478,3469.790875,7293.352121,10584.57503,9101.021338,8701.60656,20815.25725,17690.91427,21260.96472,26387.81654,34069.84008,24359.17456,25757.75798,16129.36391,20236.30441,16345.38155,34976.49417,35105.75634,30110.88634,689.066336,26228.90162,63647.60925,31245.97915,69023.18175,72899.47714,60773.21816,23336.96366,62244.64761,93803.69543,167262.3408,134144.5713,98027.00544,204789.1654,62539.35198,142785.829,174894.863,156885.5186,134314.79,191044.0244,89.09814389,129.794939,1427.612296,1753.705257,9563.288623,4652.1273,2551.840107,2341.079276,7818.060486,7976.097314,3045.842232,11113.5329,9460.791731,11094.75115,11835.4853,13271.66584,11757.48681,11441.20406,8320.902266,12725.59288
6,1,Pi,6,134.3879232,6385.295952,2803.540289,5739.224579,7995.293737,5831.067787,3905.004503,11664.82984,4168.168612,7615.683724,18202.66742,13748.9152,12710.54383,10158.03632,12756.41747,10223.82226,23026.66219,14108.12116,14787.70979,19914.53458,134.3879232,39456.08248,31826.86463,46802.96444,87661.90707,78415.87952,91304.87155,173248.2147,34804.89475,122139.1158,176760.4699,179948.9626,143309.2177,187362.4579,184004.05,208647.9829,72003.26331,178660.5294,267820.6089,76231.17788,13.04499534,419.6576687,336.1346506,3837.005668,345.8966897,438.0202211,2909.492563,3070.17919,2016.715241,1371.490213,7775.759644,3391.377346,3668.431279,4772.285234,7819.358007,4660.098133,3297.044865,9191.426718,11149.92848,13969.71061
7,1,Pi,7,80.46714843,3358.324492,1928.663219,842.9091284,2218.943001,11684.77741,5392.980218,3314.390647,10103.12193,8091.056518,8474.982374,14237.71605,10907.03984,9471.458183,13172.44586,14573.0582,11034.20289,19913.03334,17804.73074,12121.45236,80.46714843,83.67858965,40428.11919,42667.40109,141781.839,150220.8232,155531.8318,163889.2535,148492.4751,32994.28096,154777.0675,145730.0019,172308.1309,165095.1455,164534.9364,166266.0023,234819.3906,162988.1527,300260.7065,251163.7812,5.032596888,450.2234817,255.4639368,116.8550826,1511.846983,5410.916818,2436.011356,1758.47092,3005.913571,2948.548167,6875.899272,2438.280189,8366.423501,2413.457106,6907.266674,11880.984,2251.564498,9219.221242,11983.36395,7947.813167
8,1,Pi,8,89.59555422,776.0972031,902.8504847,3940.213962,3076.278786,7893.157494,6305.269148,7785.335672,5913.260662,17562.37126,12445.01382,17397.90425,23576.0565,16597.85,21020.94451,12165.98695,11932.84383,19415.17157,14314.80108,16188.28754,89.59555422,85.44551689,24331.4098,11616.32865,23082.10473,21389.43856,56573.76866,37282.90766,42576.35543,24456.9975,61915.32516,14000.0807,53718.53264,17096.64205,72086.64999,43814.11723,11088.48964,36929.74548,42125.3435,41299.58613,34.52092789,330.8230951,210.9716442,2112.284453,1422.203623,693.6742218,4772.477443,2040.567217,5019.465285,2256.514308,4681.987695,6328.477782,5974.841874,2490.838731,5027.048883,8438.203382,4474.358363,4660.767596,14217.79349,17083.81201
9,1,Pi,9,1020.158862,3973.513984,2098.392286,2217.659147,4758.603575,5205.051979,6836.413689,4636.989042,9507.575088,18219.81251,11436.53709,14164.68531,11670.42262,12135.73394,11779.88662,14118.01607,24021.75778,23481.63677,15614.42421,11984.9172,1020.158862,51333.05031,74748.64731,67961.85029,75821.78432,71221.82117,8342.190508,55094.08704,76835.69015,15760.31733,88072.05325,107318.3354,25778.79103,53625.49286,23560.95211,14348.82003,32989.39248,24906.36227,54361.2877,53775.42737,1184.104856,2586.440891,1789.092662,705.1607516,2921.407764,3491.564195,5452.547565,3946.185579,8479.382759,7689.0856,16455.92141,5988.919235,9734.046618,10122.72316,10035.51021,7563.432482,20815.99015,12344.59531,12108.56786,17630.07867
10,1,Pi,10,2389.214285,6969.04856,12724.65187,6609.465801,16659.66261,14741.7079,10986.01434,14314.46123,17493.4565,13011.476,26108.67818,13244.69449,27808.30781,27793.56014,14349.80789,31333.17509,21781.0258,37383.97739,43475.60623,21135.35614,2389.214285,128484.4958,40576.67753,47379.41581,16677.56796,167992.4428,46092.77023,34607.16291,170342.0998,51660.90678,197923.7939,40786.25671,215572.6122,68931.21182,160804.482,130907.711,198691.7884,79335.66158,102747.138,141171.5231,156.3181713,799.0445443,2191.027229,1465.519713,2929.176627,1334.544338,6626.8974,3370.794362,5035.938929,5127.819507,6721.574124,7916.38612,9623.207305,5301.075339,10354.3206,3935.907245,9947.138376,5652.866145,10794.55004,19207.27173
