number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,-0.72019,-0.85704,-0.38503,-0.56076,-0.41098,-0.82829,-0.40927,-0.17583,-0.30236,-0.26606,-0.51068,-0.80127,-0.17483,-0.06281,0.61228,-0.16533,-0.32308,0.5189,-0.55194,0.098224,-0.72019,-0.99014,-0.97746,-0.98105,-0.30464,-0.2823,-0.92712,-0.24107,-0.71934,-0.42877,0.38363,0.11498,-0.17571,-0.07776,-0.1625,-0.075021,0.76292,0.1018,1,-0.13912,-0.99576,-0.94582,-0.9498,-0.19059,-0.73221,-0.99934,-0.45206,-0.8304,-0.50297,-0.6864,-0.31332,-0.83731,-0.72243,-0.50877,-0.76665,-0.46598,-0.68424,-0.61384,-0.21189,-0.6437
2,1,Pi,2,-0.35386,0.34648,-0.2004,-0.037725,-0.47101,-0.23767,-0.066521,-0.66268,-0.81139,0.21266,-0.23395,-0.76081,-0.69159,-0.57369,-0.65314,-0.2843,-0.72035,-0.69713,-0.82909,-0.60958,-0.35386,-0.97722,-0.80642,-0.8207,-0.77542,-0.39388,-0.66531,-0.26526,-0.049529,-0.54189,-0.21537,-0.47932,-0.29698,-0.4439,-0.8955,-0.0068818,-0.076627,-0.19053,-0.81688,-0.48137,0.3083,-0.51212,-0.96238,-0.79154,-0.25646,-0.66575,-0.51703,-0.32208,-0.8591,-0.63691,-0.79392,-0.46934,-0.75181,-0.41511,-0.60837,-0.54945,-0.44834,-0.3901,-0.22917,-0.33218
3,1,Pi,3,-0.87654,-0.79924,-0.71985,-0.47732,-0.45789,-0.32725,-0.61679,-0.5598,0.10605,-0.84213,-0.40312,-0.64268,-0.81516,-0.48613,-0.57444,-0.44372,-0.82421,-0.34428,-0.84178,-0.55142,-0.87654,-0.8474,-0.84114,-0.74573,-0.88645,-0.58546,-0.8918,-0.79738,-0.79241,-0.68346,-0.62437,0.84043,-0.24217,-0.18255,1,-0.38906,-0.37715,0.12417,0.24157,0.45007,-0.99131,-0.92739,-0.86075,-0.93642,-0.22012,-0.91736,-0.36693,-0.94491,-0.74329,-0.69661,-0.88353,-0.82752,-0.63884,-0.32126,-0.82274,0.19414,-0.57376,-0.65891,-0.064335,-0.59474
4,1,Pi,4,0.087998,-0.37714,-0.27981,-0.27797,-0.59886,-0.54696,-0.53424,-0.77922,-0.50868,-0.38388,-0.77303,-0.67167,-0.34415,-0.8279,-0.45712,-0.40976,-0.61809,-0.39986,-0.67204,-0.29482,0.087998,-0.81524,-0.74834,0.24772,0.14849,0.20944,-0.093171,0.22945,0.48188,-0.28078,0.31518,0.10133,-0.46901,-0.38761,0.18812,-0.26839,0.57488,0.51676,0.096761,-0.36945,-0.73026,-0.93604,-0.97017,-0.9798,-0.75719,0.15708,-0.82277,-0.74198,-0.76188,1,-0.78984,-0.48412,-0.74014,-0.89143,-0.64162,0.18579,-0.551,-0.27927,-0.57636,-0.86536
5,1,Pi,5,-0.68266,-0.87329,-0.6343,-0.23545,-0.15972,-0.26239,-0.22556,0.40193,0.57471,1,1,0.27647,-0.10945,-0.12069,0.16747,0.16826,-0.45507,0.8653,-0.31141,0.3342,-0.68266,-0.59174,-0.30896,-0.68507,-0.42735,-0.39843,-0.50208,-0.81047,-0.49728,-0.32743,0.17951,-0.018124,-0.50337,0.2697,-0.61755,2.32e-05,0.41729,0.06541,-0.35816,0.19672,-0.90684,-0.98592,-0.73195,-0.84975,0.91852,-0.53884,-0.69674,-0.86141,-0.13819,-0.33234,-0.78193,-0.3786,-0.44065,-0.3601,-0.56927,0.22432,-0.42671,-0.33468,-0.43941,-0.34178
6,1,Pi,6,-0.93811,-0.16346,-0.70491,-0.40129,-0.37365,-0.5354,-0.6741,-0.22815,-0.63879,-0.30171,0.36352,-0.50908,-0.55073,-0.6805,-0.089777,-0.43908,-0.21442,-0.30232,-0.7282,-0.13189,-0.93811,-0.38584,-0.65447,-0.52741,-0.2726,-0.3528,-0.25046,0.42492,-0.72117,-0.1232,0.2467,0.31823,-0.26969,0.16075,0.15143,0.46797,-0.4275,0.21451,0.2927,-0.53194,-0.98636,-0.95415,-0.93796,-0.66965,-0.94156,-0.96471,-0.65229,-0.81676,-0.79014,-0.89052,-0.4317,-0.81842,-0.7945,-0.73424,-0.71883,-0.58412,-0.85741,-0.47007,-0.23901,-0.27553
7,1,Pi,7,-0.96295,-0.56098,-0.79762,-0.92376,-0.8509,-0.046672,-0.53496,-0.80314,-0.1062,-0.25637,-0.39292,-0.49019,-0.61905,-0.70514,-0.058047,-0.17526,-0.64636,0.022474,-0.66631,-0.48812,-0.96295,-0.99873,-0.56108,-0.56932,0.17674,0.24119,0.27885,0.3478,0.20645,-0.76572,0.0912,0.066951,-0.12004,0.021532,0.028175,0.16685,0.9093,0.1072,0.45085,0.57827,-0.99474,-0.9508,-0.95318,-0.99126,-0.70627,-0.46215,-0.71114,-0.89709,-0.67897,-0.75724,-0.49833,-0.8727,-0.5075,-0.87383,-0.75279,0.093765,-0.91063,-0.4684,-0.17997,-0.59618
8,1,Pi,8,-0.95874,-0.90009,-0.90632,-0.59326,-0.78007,-0.36323,-0.44965,-0.49528,-0.48219,0.64717,-0.084205,-0.36802,-0.13912,-0.4494,0.54055,-0.32127,-0.614,-0.0053816,-0.7379,-0.30222,-0.95874,-0.9987,-0.73586,-0.88402,-0.80878,-0.82453,-0.53668,-0.69555,-0.65776,-0.82726,-0.56566,-0.90037,-0.73202,-0.90377,-0.5571,-0.70316,-0.92764,-0.75594,-0.80759,-0.75364,-0.96391,-0.96389,-0.96158,-0.81875,-0.72436,-0.93887,-0.42074,-0.87982,-0.45269,-0.81572,-0.66078,-0.65113,-0.6536,-0.86925,-0.82281,-0.22944,-0.79747,-0.74274,-0.021691,-0.10972
9,1,Pi,9,-0.53018,-0.48019,-0.77963,-0.77707,-0.64107,-0.58766,-0.39998,-0.71207,-0.15964,0.70988,-0.16263,-0.49301,-0.59013,-0.60953,-0.16426,-0.20286,-0.17858,0.22214,-0.71124,-0.49436,-0.53018,-0.20096,-0.18843,-0.31297,-0.3709,-0.41231,-0.93417,-0.54877,-0.37823,-0.88994,-0.38064,-0.21511,-0.87621,-0.67539,-0.86431,-0.91251,-0.74783,-0.83826,-0.74794,-0.67446,0.23806,-0.7167,-0.66373,-0.9404,-0.42181,-0.65612,-0.33621,-0.76311,-0.063869,-0.35659,0.21102,-0.67047,-0.42395,-0.41762,-0.6363,-0.31156,0.034433,-0.28031,-0.1711,-0.080632
10,1,Pi,10,0.10033,-0.086803,0.34642,-0.30843,0.34221,0.20855,-0.011942,-0.045703,0.55699,0.21303,0.97829,-0.52857,0.021209,-0.047631,0.031749,0.84138,-0.25929,1,-0.13972,-0.076082,0.10033,1,-0.55947,-0.52157,-0.86196,0.38821,-0.62306,-0.7176,0.38473,-0.63118,0.3964,-0.70367,0.10323,-0.57969,0.0045585,-0.08437,0.61267,-0.46558,-0.51205,-0.1198,-0.83656,-0.91257,-0.58786,-0.87467,-0.42025,-0.87411,-0.19025,-0.79835,-0.45084,-0.57306,-0.50976,-0.5607,-0.43073,-0.70295,-0.62443,-0.65211,-0.51887,-0.68303,-0.26418,0.0033481
11,1,Pi,11,-0.0729,-0.54234,-0.46111,-0.30348,-0.80985,-0.47312,-0.2965,-0.27944,0.13246,-0.060586,0.11167,-0.29917,-0.44596,-0.63371,0.8255,0.60049,-0.41318,0.081862,-0.65582,1,-0.0729,-0.96832,1,1,-0.85788,-0.76598,-0.72151,-0.74563,-0.59446,-0.63666,-0.58652,-0.16758,-0.24905,-0.22282,-0.20583,-0.13149,-0.54789,-0.5234,-0.46036,-0.36137,-0.26689,-0.86639,-0.84355,-0.81208,0.27915,1,-0.49952,-0.34883,0.39402,-0.42609,-0.53492,-0.44554,-0.39355,-0.40741,-0.49962,0.2725,-0.39786,-0.2139,-0.38765,-0.40458
